10000	1	3	
10001	2	5	
10002	3	7	
10003	4	9	
10004	5	11	
10005	6	13	
10006	7	15	
10007	8	17	
10008	9	19	
10009	10	21	
10010	11	23	
10011	12	25	
10012	13	27	
10013	14	29	
10014	15	31	
10015	16	33	
10016	17	35	
10017	18	37	
10018	19	39	
10019	20	41	
10020	21	43	
10021	22	45	
10022	23	47	
10023	24	49	
10024	25	51	
10025	26	53	
10026	27	55	
10027	28	57	
10028	29	59	
10029	30	61	
10030	31	63	
10031	32	65	
10032	33	67	
10033	34	69	
10034	35	71	
10035	36	73	
10036	37	75	
10037	38	77	
10038	39	79	
10039	40	81	
10040	41	83	
10041	42	85	
10042	43	87	
10043	44	89	
10044	45	91	
10045	46	93	
10046	47	95	
