10000	알프레드	
10001	알렉스	
10002	앨빈	
10003	밤비	
10004	바실	
10005	벨	
10006	시저	
10007	카르멘	
10008	셀리나	
10009	딘	
10010	덱스터	
10011	도로시	
10012	에반	
10013	엘사	
10014	이브	
10015	파비앙	
10016	필리아	
10017	펠릭스	
10018	가브리엘	
10019	길버트	
10020	조지	
10021	해리	
10022	헬렌	
10023	휴버트	
10024	이사벨	
10025	일리아나	
10026	이삭	
10027	제이드	
10028	제니	
10029	쥬드	
10030	칼리	
10031	케이트	
10032	쿠퍼	
10033	라라	
10034	레오	
10035	루이스	
10036	마돈나	
10037	매기	
10038	머피	
10039	나니	
10040	네로	
10041	니콜라스	
10042	올리버	
10043	오스카	
10044	오델리아	
10045	패트릭	
10046	프리모	
10047	핑키	
10048	레이나	
10049	랄프	
10050	록키	
10051	세바스챤	
10052	세레나	
10053	소피	
10054	테드	
10055	탈리	
10056	토마스	
10057	우바	
10058	움베르토	
10059	베르디	
10060	빅토리아	
10061	빈센트	
10062	왈도	
10063	윈스턴	
10064	웬디	
10065	야로	
10066	예티	
10067	유키	
10068	젤리아	
10069	지지	
10070	제플린	
