10000	8	1	5	
10001	9	4	6	
10002	10	7	7	
10003	11	9	8	
10004	12	12	9	
10005	13	15	10	
10006	14	18	11	
10007	15	21	12	
10008	16	24	13	
10009	17	26	14	
10010	18	29	15	
10011	19	32	16	
10012	20	35	17	
10013	21	38	18	
10014	22	41	19	
10015	23	43	20	
10016	24	46	21	
10017	25	49	22	
10018	26	52	23	
10019	27	55	24	
10020	28	58	25	
10021	29	60	26	
10022	30	63	27	
10023	31	66	28	
10024	32	69	29	
10025	33	72	30	
10026	34	75	31	
10027	35	77	32	
10028	36	80	33	
10029	37	83	34	
10030	38	86	35	
10031	39	89	36	
10032	40	92	37	
10033	41	94	38	
10034	42	97	39	
10035	43	100	40	
